pomposity,learning_curve,optimism,atleast,done_percent,sDR_param1,sDR_param2
0.32,97.49,5.57,87.8,54.98,0.62,4.1
0.03,48.13,9.43,0.53,27.96,0.91,2.61
0.92,99.46,2.54,41.86,63.0,0.62,2.64
0.75,56.0,2.56,10.1,20.49,0.17,4.47
0.4,41.11,6.51,62.99,24.9,0.27,3.0
0.42,41.73,2.94,27.55,78.2,0.59,6.35
0.87,86.18,6.09,97.72,46.08,0.01,4.44
0.07,3.17,9.41,74.73,46.4,0.78,4.14
0.14,90.99,5.49,83.32,59.34,0.66,5.76
0.28,98.76,6.49,90.22,60.95,0.23,2.84
0.28,26.73,4.38,49.62,78.88,0.43,9.47
0.98,45.71,9.24,55.69,84.3,0.51,4.12
0.47,91.17,1.34,99.34,8.29,0.06,2.75
0.29,74.04,5.65,82.39,81.85,0.56,6.19
0.64,30.13,2.79,73.37,56.5,0.25,2.99
0.43,17.72,4.46,48.37,80.59,0.15,5.32
0.22,83.04,6.33,55.63,47.09,0.24,1.01
0.85,23.15,3.5,92.0,52.36,0.07,8.34
0.0,76.41,8.49,20.76,36.34,0.52,7.6
0.87,82.75,8.69,95.17,37.98,0.47,1.71
0.39,11.64,1.17,87.79,89.11,0.56,9.44
0.01,55.44,4.73,62.19,51.94,0.95,6.2
0.01,15.79,8.92,5.36,94.7,0.05,9.78
0.35,66.89,5.45,7.42,54.3,0.49,8.24
0.18,71.88,9.66,95.34,48.84,0.08,2.14
0.55,65.56,1.75,25.04,35.3,0.23,6.28
0.63,68.7,9.73,50.59,68.72,0.89,7.44
0.95,31.36,4.27,64.19,15.31,0.2,7.14
0.09,21.7,1.0,22.33,75.52,0.06,6.74
0.71,42.67,5.91,97.81,50.48,0.01,1.71
0.87,84.47,8.96,65.35,4.42,0.28,6.92
0.47,29.88,4.03,67.63,64.99,0.03,1.99
0.57,3.13,9.44,59.16,88.31,0.88,5.83
0.79,90.43,1.01,40.18,54.66,0.71,5.58
0.25,87.44,5.02,76.91,57.93,0.43,8.55
0.29,44.45,7.4,33.11,5.89,0.98,6.91
0.61,18.45,3.99,53.12,82.94,0.23,3.9
0.6,81.25,1.22,55.05,28.88,0.23,4.42
0.73,84.19,5.01,98.63,51.44,0.97,4.47
0.5,70.21,1.19,11.7,48.37,0.5,7.29
0.44,59.21,3.89,50.96,32.16,0.7,8.52
0.89,62.57,0.16,27.98,27.09,0.7,9.89
0.18,52.06,9.89,59.25,94.85,0.77,4.62
0.98,51.45,3.47,47.29,54.29,0.13,5.64
0.9,50.97,2.11,74.0,41.88,0.59,1.6
0.08,89.56,2.12,83.99,8.71,0.81,4.95
0.25,94.94,0.41,48.96,90.49,0.22,9.72
0.02,80.44,1.12,3.7,30.46,0.93,1.52
0.3,58.82,7.4,38.5,15.81,0.43,8.79
0.1,7.58,1.45,28.64,16.56,0.95,6.02
0.64,22.99,5.46,98.55,4.46,0.76,3.55
0.28,48.6,5.39,5.21,38.47,0.17,1.68
0.59,85.8,7.32,22.27,67.17,0.65,6.17
0.16,45.06,7.08,75.84,73.85,0.81,5.77
0.39,46.45,3.41,77.95,82.23,0.87,5.3
0.75,72.95,2.37,42.11,20.24,0.04,2.3
0.23,23.84,9.13,1.89,16.4,0.26,7.61
0.14,61.99,9.93,72.3,13.26,0.62,5.19
0.23,79.71,9.02,20.56,34.97,0.08,3.98
0.58,30.7,0.16,30.71,70.43,0.77,7.47
0.08,66.89,1.89,90.89,28.21,0.59,9.34
0.73,83.75,6.09,41.0,45.62,0.56,1.41
0.42,36.48,2.8,34.0,82.32,0.18,1.59
0.23,69.69,7.44,92.44,54.88,0.79,9.0
0.24,75.34,8.62,10.47,37.03,0.91,9.63
0.75,64.04,4.42,82.59,38.4,0.06,3.7
0.21,98.5,5.87,52.43,35.12,0.19,5.12
0.84,43.74,4.78,91.44,1.85,0.53,5.89
0.06,26.69,3.77,73.76,47.68,0.72,9.06
0.31,69.33,4.85,15.05,64.36,0.6,4.76
0.7,45.08,0.73,53.98,35.93,0.16,6.17
0.97,28.07,8.27,92.57,93.6,0.14,7.59
0.54,87.1,5.96,49.9,83.01,0.76,7.03
0.49,76.7,2.03,23.11,12.55,0.61,2.42
0.57,53.29,3.87,26.12,41.65,0.07,5.66
0.36,17.76,8.24,74.45,34.59,0.78,9.35
0.43,56.13,4.05,18.66,12.65,0.82,3.68
0.17,42.28,3.8,31.5,54.32,0.61,1.61
0.29,36.04,3.26,43.68,66.96,0.17,4.21
0.55,46.02,6.18,38.26,48.72,0.74,3.61
0.18,53.33,0.97,2.39,21.7,0.4,6.24
0.33,61.39,1.11,97.19,60.14,0.3,6.83
0.31,17.16,8.85,98.88,26.94,0.84,4.6
0.05,99.99,0.72,56.03,54.85,0.44,9.12
0.02,79.0,9.07,92.65,34.87,0.51,8.51
0.48,87.29,9.19,29.83,99.61,0.49,6.09
0.97,78.24,6.96,40.86,96.54,0.97,8.31
0.28,94.24,2.09,87.62,70.84,0.58,5.94
0.12,83.75,3.36,11.75,44.75,0.82,1.59
0.44,64.05,8.66,78.78,41.59,0.55,1.04
0.05,66.78,7.79,6.39,69.48,0.49,5.38
0.91,47.47,3.42,66.58,43.63,0.46,4.14
0.45,3.1,0.26,35.9,93.03,0.69,1.67
0.95,20.7,3.21,35.74,11.11,0.6,9.88
0.14,74.76,3.64,10.54,84.28,0.52,1.95
0.16,44.49,2.44,99.55,45.61,0.34,1.46
0.21,36.58,1.22,51.0,17.03,0.46,3.16
0.36,96.46,5.1,31.63,4.37,0.18,2.89
0.29,53.38,0.96,61.35,35.28,0.75,4.11
0.41,91.55,2.03,80.06,45.84,0.75,7.83
0.8,89.84,3.38,44.42,12.3,0.71,1.79
0.14,16.62,2.79,19.33,69.3,0.34,8.17
0.1,82.79,5.88,25.38,91.04,0.68,2.47
0.01,44.2,4.22,23.12,47.49,0.24,9.3
0.38,41.27,2.96,14.52,87.26,0.24,5.2
0.44,12.46,6.49,73.3,70.09,0.06,4.01
0.23,27.31,7.46,54.63,71.04,0.71,9.4
0.72,24.44,6.22,11.35,46.91,0.93,6.69
0.56,55.35,9.94,26.24,92.77,0.36,8.33
0.16,37.06,2.4,12.08,30.63,0.06,8.39
0.95,24.61,5.14,74.09,68.16,0.69,6.74
0.98,33.61,1.43,95.96,80.09,0.56,3.47
0.81,10.59,9.25,1.29,54.83,0.59,9.19
0.25,38.12,0.73,49.39,17.46,0.72,9.87
0.49,34.56,4.65,27.69,76.3,0.61,8.46
0.46,14.19,3.25,0.61,29.94,0.33,6.52
0.87,86.67,0.47,19.87,68.02,0.3,6.33
0.8,21.68,3.25,44.48,91.16,0.41,3.21
0.07,64.86,4.59,87.77,31.77,0.69,9.88
0.28,13.22,8.34,62.32,30.64,0.78,2.54
0.67,91.79,1.08,0.16,52.88,0.53,4.73
0.31,4.67,1.55,39.77,42.39,0.68,2.26
0.04,1.72,6.96,31.18,8.36,0.89,7.72
0.66,37.07,3.67,56.8,55.52,0.84,8.52
0.12,52.1,9.85,9.36,0.83,0.64,5.97
0.4,21.3,1.36,69.91,40.56,0.99,1.05
0.56,26.91,8.42,17.74,3.42,0.63,6.56
0.56,35.33,2.56,26.23,64.94,0.36,4.22
0.54,50.38,0.51,81.68,80.65,0.87,6.84
0.66,44.42,4.43,46.55,16.9,0.1,4.25
0.39,98.78,0.25,12.9,26.19,0.45,4.02
0.82,17.72,8.6,97.95,28.84,0.61,4.45
0.51,33.86,5.84,41.8,14.98,0.63,4.17
0.45,59.15,6.8,2.09,9.7,0.95,5.03
0.78,35.34,2.59,16.25,80.15,0.13,3.84
0.56,21.39,6.6,92.28,65.27,0.41,9.37
0.5,76.37,5.5,40.97,26.18,0.04,9.39
0.02,62.18,5.65,38.22,84.24,0.92,4.31
0.11,86.8,1.74,41.53,30.91,0.49,7.39
0.52,25.88,4.17,31.99,97.24,0.88,3.25
0.79,18.97,4.63,3.77,93.1,0.21,9.41
0.9,83.46,10.0,99.16,84.06,0.91,3.04
0.12,77.54,7.99,81.62,74.25,0.78,3.59
0.17,34.33,2.6,92.74,77.24,0.33,6.35
0.66,22.86,1.06,89.39,83.94,0.33,3.37
0.96,38.67,2.4,53.29,89.49,0.96,3.53
0.21,36.72,3.42,57.06,97.32,0.52,6.54
0.37,49.98,7.26,8.79,85.16,0.11,7.77
0.29,49.03,2.57,20.82,58.26,0.51,9.09
0.26,57.17,0.44,43.45,88.22,0.26,8.94
0.58,70.68,3.25,70.77,40.46,0.07,5.98
0.88,79.17,8.53,13.59,22.29,0.57,4.85
0.93,29.82,6.37,23.44,41.76,0.37,8.07
0.95,3.79,7.81,85.73,65.69,0.75,1.23
0.58,47.33,9.42,76.09,83.28,0.2,1.41
0.88,15.52,3.94,14.13,11.25,0.86,8.98
0.88,5.13,4.19,38.03,54.34,0.47,5.92
0.13,88.6,4.7,63.14,52.25,0.78,1.77
0.17,69.54,0.97,8.64,42.03,0.92,7.98
0.99,22.73,1.91,68.27,37.13,0.1,1.87
0.64,13.74,8.55,28.09,34.75,0.48,3.78
0.96,89.38,6.79,68.41,40.44,0.41,6.78
0.44,34.94,0.58,95.71,73.9,0.65,9.07
0.72,30.77,5.84,24.81,83.44,0.31,9.86
0.31,63.73,8.84,15.6,77.43,0.14,1.07
0.96,82.62,6.66,56.64,47.51,0.23,2.41
0.16,31.39,0.29,35.43,99.56,0.28,3.04
0.99,35.88,9.29,76.99,96.46,0.85,3.38
0.37,88.69,6.48,73.84,61.14,0.66,3.81
0.36,74.2,3.12,46.98,76.25,0.98,8.38
0.59,28.03,6.14,43.91,63.4,0.79,6.41
0.01,60.22,2.75,29.5,24.71,0.58,6.69
0.32,71.8,1.43,62.84,66.98,0.51,3.17
0.15,17.5,3.74,11.3,54.16,0.14,8.22
0.14,6.56,0.91,57.93,56.92,0.28,5.24
0.36,76.17,3.91,35.43,33.11,0.15,3.22
0.85,13.41,5.88,45.81,2.41,0.49,9.7
0.05,7.44,2.1,18.66,42.19,0.34,7.65
0.17,96.61,2.78,26.17,89.39,0.93,5.57
0.63,78.45,1.06,77.79,35.24,0.54,3.36
0.18,45.71,0.74,77.22,49.96,0.92,2.68
0.85,84.71,6.61,24.92,24.13,0.92,7.74
0.41,1.96,3.01,38.39,4.3,0.14,7.43
0.71,97.17,8.73,51.05,99.14,0.57,3.69
0.87,60.81,9.22,87.74,99.99,0.28,3.22
0.38,82.41,5.49,36.87,16.54,0.89,7.95
0.16,37.16,0.82,74.1,91.71,0.66,6.25
0.13,62.67,1.87,77.67,65.8,0.98,8.63
0.6,99.94,5.15,40.07,16.84,0.38,5.47
0.21,49.85,4.27,11.84,90.95,0.66,2.69
0.69,49.16,2.72,61.85,57.19,0.95,7.77
0.71,47.1,7.84,0.52,0.96,0.68,7.87
0.35,10.16,6.82,74.37,60.64,0.93,6.43
0.03,43.48,4.92,12.77,23.09,0.48,5.63
0.4,32.19,4.36,68.08,52.15,0.97,4.66
0.12,4.76,7.6,76.83,66.11,0.76,2.32
0.43,86.84,9.78,64.31,70.17,0.38,7.31
0.91,49.55,4.92,89.75,89.13,0.68,7.26
0.31,80.73,7.16,3.59,12.49,0.66,4.56
0.07,76.88,7.78,35.87,12.08,0.78,1.39
0.78,28.67,3.47,29.68,65.76,0.71,1.17
0.42,69.99,0.73,56.78,62.72,0.15,1.32
0.6,69.72,6.29,65.94,75.54,0.69,1.08
0.86,44.86,4.06,91.85,61.45,0.93,5.88
0.65,47.34,9.81,41.75,46.42,0.51,9.68
0.42,58.39,0.59,31.01,76.17,0.17,3.23
0.6,72.74,4.79,1.2,26.81,0.92,9.6
0.98,53.72,1.93,80.81,54.73,0.68,3.8
0.9,92.47,6.02,93.33,78.77,0.98,9.93
0.05,24.44,5.7,32.04,31.71,0.66,3.87
0.66,59.06,5.54,52.23,96.92,0.82,3.94
0.24,32.41,5.22,64.79,58.59,0.2,2.01
0.59,88.57,8.89,15.25,9.73,0.03,4.47
0.58,99.98,2.88,12.63,10.63,0.45,4.94
0.7,79.94,2.32,72.29,23.57,0.41,1.65
0.37,30.35,4.28,7.46,12.87,0.22,5.34
0.48,25.54,2.51,62.17,12.5,0.04,4.16
0.25,78.81,0.28,26.86,34.65,0.78,7.65
0.82,40.94,6.8,53.04,20.42,0.47,9.1
0.15,41.74,6.36,50.58,27.11,0.49,8.49
0.34,10.21,7.19,6.78,33.66,0.13,6.54
0.35,3.22,1.38,68.46,63.99,0.9,3.31
0.55,94.0,3.73,62.31,86.28,0.87,6.87
0.62,8.34,2.85,89.55,54.95,0.69,2.84
0.91,73.68,5.52,20.62,82.1,0.71,1.07
0.59,80.9,9.14,98.48,87.1,0.38,9.33
0.79,2.81,9.23,80.54,66.19,0.24,2.41
0.19,31.1,5.36,28.18,1.33,0.62,4.17
0.99,64.06,5.94,64.37,84.82,0.26,3.61
0.99,94.33,1.43,66.18,47.79,0.19,3.69
0.03,30.38,3.65,29.43,64.29,0.92,4.37
0.46,63.97,4.14,48.86,13.05,0.95,4.79
0.73,32.93,7.77,42.32,80.45,0.52,2.41
0.32,51.12,3.63,14.07,1.18,0.94,3.88
0.23,23.11,1.69,44.11,25.41,0.74,1.88
0.1,65.16,9.15,63.72,30.48,0.41,8.53
0.75,42.31,1.63,24.01,47.34,0.18,6.58
0.91,43.31,8.91,10.6,51.14,0.68,4.98
0.94,71.51,4.25,78.64,14.65,0.79,2.69
0.76,76.51,9.27,66.05,54.55,0.09,9.53
0.33,36.3,5.54,45.88,37.76,0.71,8.45
0.16,53.18,5.52,31.6,2.68,0.82,2.04
0.75,33.38,0.54,18.94,3.67,0.16,9.64
0.57,19.43,4.12,32.27,97.42,0.39,1.3
0.35,71.71,4.63,91.11,87.28,0.75,7.83
0.72,25.48,0.24,30.69,10.67,0.47,3.45
0.92,93.79,5.37,37.78,5.4,0.78,6.36
0.11,84.46,7.48,25.18,4.92,0.65,1.84
0.41,55.78,1.91,91.8,43.4,0.65,4.31
0.57,2.48,2.71,45.32,43.85,0.14,4.38
0.76,27.65,8.19,37.84,95.99,0.59,1.39
0.42,73.73,0.38,10.95,70.3,0.65,3.01
0.16,3.06,6.65,18.28,81.57,0.08,6.01
0.1,26.47,8.31,5.28,62.27,0.59,4.72
0.75,30.9,8.74,99.42,74.73,0.9,6.8
0.72,20.32,4.84,26.72,7.19,0.63,4.72
0.23,11.44,6.62,4.5,40.86,0.54,3.86
0.34,2.92,3.98,9.87,72.65,0.02,9.24
0.13,5.51,6.72,14.92,21.64,0.8,1.45
0.29,60.65,5.62,52.22,35.17,0.76,6.18
0.39,56.31,4.57,76.8,82.7,0.13,7.67
0.38,92.03,4.61,71.56,45.91,0.46,4.72
0.29,94.61,0.16,81.91,63.38,0.97,1.3
0.35,43.11,6.08,97.31,11.35,0.86,3.41
0.48,90.25,3.22,84.41,12.72,0.41,9.71
0.66,95.94,7.2,63.53,11.14,0.11,3.94
0.46,32.59,9.96,26.31,12.2,0.41,1.17
0.02,54.9,8.37,75.56,89.77,0.65,6.75
0.63,29.26,4.5,39.06,29.93,0.18,3.7
0.43,2.7,1.73,33.72,41.19,0.42,4.03
0.09,74.65,9.15,31.72,95.33,0.21,4.95
0.23,69.55,8.81,53.7,79.92,0.42,9.19
0.94,45.71,2.03,84.25,0.3,0.05,7.67
0.4,28.11,1.58,86.06,98.44,0.74,8.82
0.24,94.87,3.71,3.18,18.55,0.12,1.86
0.05,63.03,8.83,55.53,9.66,0.84,8.86
0.3,51.56,5.59,58.65,46.78,0.49,1.87
0.65,81.82,8.24,97.81,61.21,0.83,7.2
0.87,82.15,0.19,89.15,13.21,0.61,2.69
0.5,67.9,5.79,27.72,99.34,0.57,5.32
0.47,6.42,2.04,7.1,3.07,0.77,9.32
0.46,41.57,2.81,64.46,24.87,0.57,8.91
0.44,21.09,6.69,54.68,61.05,0.52,5.62
0.07,6.77,7.73,79.2,68.24,0.73,6.59
0.97,92.5,0.52,21.57,5.02,0.51,2.98
0.02,99.84,9.98,15.36,68.9,0.78,2.49
0.38,8.43,6.01,87.09,8.74,0.31,4.7
0.86,53.27,4.12,27.25,26.46,0.01,8.18
0.39,11.74,6.95,20.9,47.62,0.71,3.93
0.82,45.12,0.2,55.36,5.7,0.94,3.71
1.0,55.59,9.6,45.48,55.64,0.73,9.78
0.26,10.4,5.95,34.58,15.03,0.11,5.59
0.93,1.64,1.18,85.99,97.67,0.87,1.43
0.61,42.9,4.66,87.66,5.16,0.45,6.94
0.3,53.66,1.34,12.93,19.38,0.05,8.29
0.38,13.14,2.95,67.62,62.22,0.47,3.03
0.28,36.33,2.08,48.27,96.54,0.32,2.39
0.38,71.68,2.9,12.6,77.05,0.38,6.23
0.06,63.15,4.0,6.75,13.7,0.18,9.33
0.34,18.12,4.03,20.2,58.46,1.0,4.74
0.13,82.72,9.73,1.01,99.55,0.06,7.49
0.43,13.5,9.37,80.64,14.13,0.99,7.05
0.61,71.61,4.92,42.49,93.85,0.65,5.93
0.44,3.87,8.57,33.66,7.31,0.43,2.06
0.38,76.72,1.68,39.56,64.41,0.44,7.0
0.92,10.06,5.7,54.38,4.48,0.45,4.29
0.45,19.68,4.76,36.36,42.16,0.63,2.84
0.76,35.31,8.82,78.51,90.73,0.26,8.55
0.61,58.91,9.22,11.36,89.77,0.66,1.47
0.34,14.14,6.91,8.93,35.46,0.09,5.67
0.39,57.38,7.74,80.32,11.3,0.34,2.32
0.44,98.19,4.98,56.34,16.05,0.21,2.14
0.79,19.93,1.91,56.36,92.83,0.77,9.13
0.25,67.57,4.28,15.61,19.91,0.61,3.44
0.12,24.24,7.58,79.45,29.85,0.77,4.85
0.47,92.4,5.55,91.11,96.31,0.88,5.19
0.46,10.93,0.9,15.52,30.85,0.27,3.86
0.6,1.45,0.82,51.26,82.93,0.52,9.94
0.47,81.63,6.65,11.25,77.6,0.43,8.36
0.04,24.9,6.82,5.02,56.69,0.91,6.94
0.33,24.84,8.18,24.58,63.25,0.83,5.83
0.51,31.88,8.61,86.64,3.52,0.84,6.21
0.92,35.16,8.84,58.81,88.12,0.16,8.81
0.73,15.7,8.47,93.18,6.87,0.68,9.58
0.43,11.07,7.66,98.72,0.27,0.9,6.54
0.24,85.9,8.16,31.63,37.07,0.06,3.65
0.0,18.92,1.42,50.73,9.97,0.8,7.34
0.15,40.87,6.36,37.72,73.73,0.71,7.19
0.65,42.15,5.28,28.58,65.44,0.69,3.9
0.38,17.19,1.29,35.07,49.96,0.69,5.85
0.66,4.69,0.78,16.67,31.72,0.44,6.95
0.9,98.95,5.38,56.45,52.18,0.25,5.03
0.31,51.19,4.76,69.63,83.04,0.16,6.32
0.06,14.57,6.84,38.36,27.48,0.95,3.11
0.48,22.25,6.22,94.88,2.44,0.58,3.23
0.39,75.28,3.52,33.74,33.08,0.59,4.69
0.5,59.66,6.99,95.19,34.61,0.57,1.3
0.7,55.06,4.26,55.55,90.26,0.69,5.26
0.37,75.72,1.98,65.13,3.92,0.36,1.75
0.39,77.63,5.54,9.67,38.91,0.83,3.0
0.21,52.17,7.51,91.27,38.64,0.55,1.82
1.0,20.42,4.62,8.97,86.79,0.93,7.93
0.32,77.88,2.55,55.76,1.58,0.49,8.21
0.19,60.67,4.32,28.6,81.38,0.89,2.88
0.63,91.53,3.13,73.46,88.22,0.58,9.8
0.55,89.87,5.39,8.57,6.25,0.51,2.2
0.86,80.09,7.28,5.53,60.8,0.85,8.13
0.26,36.28,9.44,29.29,77.23,0.97,4.38
0.46,86.72,3.74,52.01,61.5,0.58,7.59
0.13,4.71,9.76,90.74,63.98,0.76,4.32
0.84,93.57,3.04,65.96,16.05,0.71,2.09
0.84,51.92,8.18,3.34,61.27,0.36,7.39
0.05,44.98,8.42,42.74,37.6,0.84,2.28
0.9,40.54,3.95,3.26,82.02,0.16,9.02
0.36,9.99,5.65,90.99,35.67,0.18,7.62
0.61,81.17,8.47,32.08,15.91,0.46,2.86
0.03,30.37,1.28,33.68,54.15,0.76,5.06
0.32,56.65,4.13,19.25,20.35,0.66,5.64
0.7,55.34,5.49,30.0,79.84,0.08,1.63
0.27,17.23,3.84,14.81,97.6,0.76,1.72
0.61,13.88,8.23,33.77,83.93,0.27,4.67
0.76,93.15,8.94,83.06,0.85,0.54,9.5
0.06,36.71,2.25,47.29,88.11,0.69,2.46
0.81,37.81,9.79,96.61,80.21,0.82,1.65
0.19,18.67,8.88,46.69,11.65,0.07,4.53
0.3,7.09,5.95,14.37,92.76,0.68,6.26
0.19,7.5,0.45,95.09,1.66,0.6,5.83
0.45,40.23,0.54,83.16,84.4,0.45,3.32
0.46,69.14,1.17,57.51,41.44,0.19,5.56
0.24,54.19,6.61,41.86,68.13,0.95,6.21
0.17,6.73,3.3,34.67,25.35,0.86,8.82
0.89,54.43,5.36,11.63,30.21,0.22,9.09
0.55,39.11,3.16,96.3,52.3,0.06,7.35
0.21,88.56,5.96,39.82,57.45,0.66,1.48
0.25,46.7,4.88,61.32,60.56,0.42,3.79
0.25,1.41,0.86,41.7,42.84,0.22,6.32
0.11,36.79,6.1,48.06,25.84,0.99,1.04
0.75,27.03,6.76,41.86,17.82,0.16,7.75
0.06,5.35,0.3,47.08,68.32,0.57,1.04
0.36,90.43,3.93,2.09,20.14,0.84,8.04
0.1,72.46,2.61,75.4,32.74,0.3,3.05
0.6,84.82,2.93,58.67,89.29,0.11,8.55
0.67,69.64,4.42,43.05,48.61,0.79,9.28
0.62,98.38,7.15,3.53,43.03,0.26,7.22
0.4,26.56,4.59,28.03,92.49,0.62,8.86
0.81,45.19,4.54,13.35,47.24,0.3,4.2
0.09,67.9,5.58,90.52,97.68,0.62,1.25
0.83,67.13,4.07,14.65,62.01,0.7,4.73
0.34,71.45,5.05,97.56,83.7,0.89,7.25
0.74,66.35,4.24,96.57,54.19,0.79,5.46
0.21,7.25,7.17,66.68,88.49,0.0,7.19
0.59,23.78,8.92,53.55,78.92,0.05,5.21
0.6,43.05,3.88,27.72,78.25,0.69,9.13
0.97,39.29,3.6,20.43,27.25,0.49,7.16
0.34,70.09,1.8,47.31,38.16,0.72,2.57
0.23,90.61,2.65,88.53,79.86,0.26,2.42
0.31,18.76,0.83,50.04,0.36,0.5,2.01
0.17,13.06,4.29,54.55,86.48,0.79,1.88
0.86,33.06,6.91,64.31,96.44,0.29,6.28
0.72,58.87,2.09,59.52,16.99,0.92,2.22
0.57,14.77,5.92,93.18,19.59,0.94,9.05
0.13,83.39,7.09,45.84,71.59,0.36,4.31
0.19,52.88,4.52,73.01,60.31,0.7,1.85
0.77,94.55,7.24,96.8,86.72,0.34,5.9
0.15,27.52,9.22,89.28,64.3,0.07,5.92
0.53,75.02,5.38,5.71,67.51,0.59,4.29
0.49,20.85,6.19,97.28,35.53,0.99,8.99
0.73,6.76,3.83,19.33,75.83,0.68,6.74
0.12,55.75,5.21,74.62,31.68,0.58,2.32
0.49,99.17,0.1,8.14,27.92,0.52,3.33
0.29,5.59,9.83,55.42,0.58,0.45,8.91
0.82,88.9,6.72,14.12,15.24,0.64,3.49
0.06,26.11,1.5,1.33,99.22,0.12,5.0
0.02,45.26,5.67,33.79,2.85,0.82,9.86
0.05,22.38,4.63,74.46,82.59,0.49,1.17
0.11,75.3,6.12,53.26,62.52,0.85,4.01
0.1,42.06,1.56,92.13,9.74,0.75,1.49
0.72,16.64,4.33,98.02,3.63,0.19,4.54
0.42,1.5,7.8,15.67,67.75,0.29,9.85
0.53,50.54,3.54,84.68,72.06,0.65,8.92
0.47,53.86,5.93,39.71,44.35,0.09,8.53
0.18,45.67,2.07,37.5,19.59,0.03,4.73
0.62,73.14,0.9,31.15,2.41,0.35,1.84
0.58,34.68,3.64,71.49,78.67,0.58,4.31
0.42,99.69,8.85,38.22,41.84,0.88,1.3
0.73,86.78,4.45,74.37,8.14,0.1,9.5
0.01,75.91,8.38,97.22,21.28,0.59,5.25
0.87,20.27,9.38,13.06,41.67,0.87,9.02
0.94,65.29,6.06,22.64,81.9,0.23,4.64
0.9,71.89,4.82,30.87,57.03,0.67,7.38
0.99,65.92,2.55,6.56,44.63,0.48,1.44
0.26,72.41,3.81,30.6,73.82,0.75,5.68
0.32,11.68,4.46,45.04,20.44,0.08,5.53
0.08,7.54,1.98,73.99,85.21,0.25,8.27
0.72,51.47,1.67,6.85,66.05,0.53,8.52
0.92,16.93,6.8,51.49,99.49,0.92,4.64
0.26,13.49,8.54,96.93,76.36,0.89,8.05
0.52,73.95,6.65,33.97,92.59,0.71,3.96
0.76,78.46,8.69,91.98,74.15,0.85,2.74
0.83,9.64,7.95,79.35,58.42,0.55,8.21
0.97,37.86,8.09,28.11,94.54,0.9,9.89
0.1,27.68,2.11,71.29,39.64,0.83,5.55
0.36,73.48,3.98,89.15,47.38,0.24,7.61
0.81,13.69,4.72,57.99,29.68,0.59,3.24
0.21,76.58,4.86,21.42,78.12,0.24,7.14
0.04,45.5,6.7,75.86,90.32,0.71,7.74
0.94,21.85,2.01,3.54,69.17,0.1,5.91
0.88,12.85,3.37,75.16,52.3,0.14,7.9
0.42,45.86,2.15,4.65,1.96,0.25,1.8
0.73,82.02,6.89,23.08,60.87,0.06,5.44
0.4,55.62,6.8,58.8,96.4,0.21,5.19
0.73,61.98,4.2,66.52,98.76,0.62,6.86
0.64,96.57,9.19,26.62,24.37,0.11,7.95
0.91,52.06,9.43,52.05,8.5,1.0,9.25
0.96,52.81,3.95,32.98,0.31,0.84,7.85
0.58,69.39,1.69,57.33,64.44,0.4,7.47
0.97,92.95,8.23,10.72,57.77,0.27,9.95
0.9,75.93,0.23,86.82,48.97,0.3,9.81
0.98,32.31,5.85,39.17,70.97,0.63,1.08
0.23,41.21,4.57,11.41,77.08,0.34,2.53
0.52,70.03,9.81,30.5,15.88,0.48,2.92
0.83,19.45,1.27,11.17,53.18,0.44,3.59
0.74,36.72,5.11,21.09,55.48,0.49,3.35
0.09,84.65,6.1,70.28,88.26,0.18,1.62
0.8,41.88,3.79,55.93,30.81,0.12,2.91
0.02,71.38,2.22,86.42,0.6,0.68,5.89
0.36,13.3,4.74,61.28,2.67,0.71,6.2
0.23,99.8,3.2,13.87,1.79,0.39,5.56
0.82,14.28,5.96,64.34,8.24,0.95,1.24
0.72,68.31,4.25,95.12,52.25,0.82,5.33
0.06,83.98,9.68,14.0,9.46,0.33,7.61
0.81,82.59,5.4,22.91,31.65,0.93,1.56
0.38,62.9,9.57,90.3,15.64,0.93,8.76
0.42,79.77,2.16,88.32,81.59,0.23,4.81
0.51,16.79,1.05,55.73,47.6,0.7,7.27
0.58,41.98,1.04,43.25,38.64,0.3,7.04
0.93,13.4,0.85,39.15,74.01,0.64,4.8
0.46,67.27,0.63,58.41,58.35,0.67,7.07
0.59,12.13,0.55,63.75,99.31,0.95,7.83
0.39,57.53,9.36,95.14,50.79,0.5,9.21
0.68,94.85,6.66,66.45,95.81,0.04,4.88
0.96,11.64,2.65,58.81,21.0,0.8,5.79
0.59,41.28,8.53,6.65,31.36,0.73,8.93
0.79,11.04,3.24,2.22,91.88,0.91,2.69
0.92,46.19,4.73,21.03,24.79,0.75,5.9
0.21,81.52,1.07,76.51,80.22,0.52,1.95
0.62,52.72,3.1,45.71,62.62,0.9,8.47
0.82,78.23,6.1,28.84,12.85,0.6,2.55
0.98,22.42,3.29,51.08,12.5,0.31,7.59
0.15,93.4,8.75,76.27,16.03,0.68,8.35
0.24,9.63,9.04,78.72,78.03,0.02,1.69
0.42,4.78,5.58,26.11,77.13,0.06,7.71
0.59,48.68,4.95,76.3,54.97,0.98,9.18
0.63,18.55,8.37,41.8,55.33,0.6,4.98
0.27,74.86,3.67,73.84,94.28,0.23,6.34
0.72,13.46,5.23,76.98,57.62,0.79,1.76
0.15,71.65,5.43,88.11,93.39,0.16,7.83
0.6,98.27,9.17,36.11,29.7,0.19,9.59
